run,trialType,regSize,vaccEff,symptomRate,incubK,incubC,persistBloodK,persistBloodC,maxEnddate,maxCZSdate,testInterval,CZSTrim1,CZSTrim2,CZSTrim3,multiCZSrate,TTC,startPregRate,contraceptionRate,assumedRate,iter,contMean,contMedian,vaccMean,vaccMedian,power,meanDate,medianDate,ColFirst,ColPreI,CosFirst,CosPreI,EcuFirst,EcuPreI,MexFirst,MexPreI,PanFirst,PanPreI,PerFirst,PerPreI,startDate
run00025,CZStrial,1650,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.356,2,1.412,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1700,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.288,2,1.436,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1750,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.372,2,1.412,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1800,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.328,2,1.468,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1850,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.444,2,1.444,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1900,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.568,2,1.464,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,1950,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.316,2,1.516,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2000,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.512,2,1.52,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2050,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.74,3,1.412,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2100,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.556,2,1.532,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2150,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.608,2,1.528,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2200,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.708,2,1.616,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2250,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.832,3,1.568,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2300,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.772,3,1.652,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2350,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.696,2,1.628,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2400,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.964,3,1.696,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2450,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,2.932,3,1.656,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2500,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.04,3,1.52,1,0,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2550,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.068,3,1.644,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2600,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.148,3,1.784,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2650,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.016,3,1.668,1,0.008,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2700,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.088,3,1.664,1,0.008,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2750,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.144,3,1.756,1,0.016,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2800,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.34,3,1.708,1,0.008,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2850,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.244,3,1.764,1,0.004,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2900,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.224,3,1.808,1,0.008,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,2950,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.484,3,1.812,2,0.012,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,3000,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.32,3,1.816,1,0.008,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,3050,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.6,3.5,1.964,2,0.016,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
run00025,CZStrial,3100,0.5,0.225,3.132,6.632,2.007,11.171,7/23/2017,2/25/2018,7,0.15,0.0227,0.0227,0.21,TRUE,0.2126546,0.73,5.00E-04,250,3.376,3,1.82,2,0.012,2/25/2018,2/25/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
